club_from,club_to,transfers
FC Schalke 04,TSV 1860 Munich,3
TSV 1860 Munich,Bayern Munich,1
Hamburger SV,SC Freiburg,5
MSV Duisburg,1.FC Nuremberg,4
1. FC Köln,Hertha BSC,5
Hertha BSC,Karlsruher SC,4
Karlsruher SC,Hamburger SV,6
Hamburger SV,Karlsruher SC,7
Hamburger SV,FC Schalke 04,12
FC Schalke 04,Bayern Munich,16
FC Hansa Rostock,VfL Wolfsburg,1
FC Hansa Rostock,Hamburger SV,3
1. FC Köln,Bayern Munich,5
1. FC Köln,Borussia Mönchengladbach,1
VfB Stuttgart,Borussia Mönchengladbach,3
Borussia Mönchengladbach,Bayern Munich,5
Borussia Mönchengladbach,VfL Wolfsburg,4
MSV Duisburg,Borussia Dortmund,4
1. FC Köln,Borussia Dortmund,6
Bayern Munich,Borussia Dortmund,7
Karlsruher SC,Borussia Dortmund,7
VfL Bochum,Bayer 04 Leverkusen,7
FC Augsburg,1.FC Nuremberg,4
Karlsruher SC,VfL Bochum,2
Bayern Munich,MSV Duisburg,4
1. FC Köln,MSV Duisburg,4
Hertha BSC,FC St. Pauli,3
SC Freiburg,Borussia Mönchengladbach,5
Borussia Dortmund,1.FC Nuremberg,3
Bayer 04 Leverkusen,1. FC Köln,2
Bayern Munich,Hertha BSC,13
VfL Wolfsburg,MSV Duisburg,8
FC Augsburg,MSV Duisburg,1
Hertha BSC,MSV Duisburg,7
VfB Stuttgart,Borussia Dortmund,7
Hannover 96,Borussia Dortmund,2
VfL Wolfsburg,Borussia Dortmund,4
MSV Duisburg,1.FC Kaiserslautern,3
1.FC Kaiserslautern,1. FC Köln,4
VfB Stuttgart,VfL Wolfsburg,21
VfL Wolfsburg,Hamburger SV,10
FC St. Pauli,TSV 1860 Munich,1
TSV 1860 Munich,Karlsruher SC,1
Hannover 96,FC Schalke 04,8
FC Schalke 04,FC St. Pauli,9
FC Schalke 04,1.FSV Mainz 05,14
VfL Bochum,SC Freiburg,4
SC Freiburg,Karlsruher SC,10
1.FC Nuremberg,SV Werder Bremen,7
SV Werder Bremen,VfL Wolfsburg,4
SV Werder Bremen,VfB Stuttgart,3
VfL Wolfsburg,FC Hansa Rostock,4
VfB Stuttgart,FC Hansa Rostock,2
FC Hansa Rostock,Hertha BSC,1
Karlsruher SC,Eintracht Frankfurt,2
VfL Bochum,Eintracht Frankfurt,3
Hannover 96,Eintracht Frankfurt,4
Eintracht Frankfurt,Hannover 96,6
Eintracht Frankfurt,FC Augsburg,4
Bayern Munich,Arminia Bielefeld,2
1.FC Nuremberg,Arminia Bielefeld,2
Arminia Bielefeld,VfB Stuttgart,1
Arminia Bielefeld,VfL Bochum,2
1. FC Köln,SpVgg Unterhaching,1
Hamburger SV,SpVgg Unterhaching,1
Karlsruher SC,SpVgg Unterhaching,1
Hertha BSC,SpVgg Unterhaching,1
SpVgg Unterhaching,VfL Bochum,1
Karlsruher SC,SSV Ulm 1846,1
FC Schalke 04,MSV Duisburg,3
Borussia Dortmund,VfL Wolfsburg,4
Bayern Munich,1.FC Kaiserslautern,2
VfB Stuttgart,FC Schalke 04,17
FC Hansa Rostock,SC Freiburg,1
Arminia Bielefeld,1.FSV Mainz 05,3
VfB Stuttgart,SpVgg Unterhaching,1
VfL Wolfsburg,SpVgg Unterhaching,2
Borussia Dortmund,Hamburger SV,4
1. FC Köln,Bayer 04 Leverkusen,6
MSV Duisburg,Bayer 04 Leverkusen,6
MSV Duisburg,Bayern Munich,1
MSV Duisburg,TSV 1860 Munich,1
TSV 1860 Munich,FC St. Pauli,1
Hamburger SV,1.FC Kaiserslautern,1
FC St. Pauli,Hamburger SV,5
FC Schalke 04,Hamburger SV,14
Hamburger SV,1. FC Köln,10
Karlsruher SC,SC Freiburg,10
Hannover 96,1. FC Köln,10
VfB Stuttgart,1. FC Köln,12
SSV Ulm 1846,SpVgg Unterhaching,1
Bayern Munich,SpVgg Unterhaching,1
MSV Duisburg,SpVgg Unterhaching,1
SpVgg Unterhaching,VfB Stuttgart,1
Hannover 96,VfB Stuttgart,10
FC Augsburg,VfL Wolfsburg,14
Hannover 96,VfL Wolfsburg,5
VfL Wolfsburg,Hannover 96,9
Hertha BSC,VfL Bochum,10
SSV Ulm 1846,Hertha BSC,1
MSV Duisburg,Hertha BSC,3
Hannover 96,FC Energie Cottbus,1
FC Energie Cottbus,FC St. Pauli,2
Borussia Dortmund,SC Freiburg,4
VfL Bochum,VfB Stuttgart,2
Hertha BSC,VfB Stuttgart,11
MSV Duisburg,Eintracht Frankfurt,4
VfL Wolfsburg,Bayer 04 Leverkusen,4
Hamburger SV,Bayer 04 Leverkusen,10
Hertha BSC,1.FC Nuremberg,6
MSV Duisburg,VfL Wolfsburg,5
VfL Wolfsburg,VfL Bochum,5
VfB Stuttgart,SV Werder Bremen,3
FC St. Pauli,SV Werder Bremen,5
SSV Ulm 1846,TSV 1860 Munich,1
Hamburger SV,FC Hansa Rostock,2
FC Schalke 04,FC Hansa Rostock,1
SC Freiburg,FC Hansa Rostock,1
FC Hansa Rostock,FC Schalke 04,2
FC St. Pauli,SC Freiburg,5
SSV Ulm 1846,FC Energie Cottbus,1
Hamburger SV,VfL Bochum,5
Hannover 96,FC St. Pauli,4
VfL Wolfsburg,FC Energie Cottbus,2
Hertha BSC,Bayern Munich,2
Bayern Munich,VfL Wolfsburg,12
Hannover 96,Bayer 04 Leverkusen,6
Bayer 04 Leverkusen,Karlsruher SC,3
FC Schalke 04,VfL Bochum,12
1.FC Kaiserslautern,1.FSV Mainz 05,1
Hamburger SV,Borussia Mönchengladbach,6
TSV 1860 Munich,VfL Bochum,1
1.FSV Mainz 05,Hannover 96,6
Hertha BSC,Hannover 96,6
Hannover 96,1.FSV Mainz 05,4
VfL Wolfsburg,1.FC Nuremberg,15
1.FC Nuremberg,VfL Wolfsburg,12
VfL Bochum,VfL Wolfsburg,5
FC Schalke 04,FC Energie Cottbus,1
FC Energie Cottbus,1. FC Köln,2
FC Energie Cottbus,Karlsruher SC,1
FC Hansa Rostock,FC Augsburg,1
1.FSV Mainz 05,SV Werder Bremen,4
Hertha BSC,1. FC Köln,5
Arminia Bielefeld,Hertha BSC,2
Arminia Bielefeld,FC Augsburg,3
VfL Bochum,MSV Duisburg,1
Borussia Dortmund,VfL Bochum,4
SV Werder Bremen,FC St. Pauli,6
Hamburger SV,Arminia Bielefeld,1
Arminia Bielefeld,FC St. Pauli,3
