club_from,club_to,transfers
VfB Stuttgart,Karlsruher SC,1
RB Leipzig,1.FC Nuremberg,3
VfB Stuttgart,1. FC Köln,2
Hertha BSC,SV Werder Bremen,3
Bayer 04 Leverkusen,VfL Wolfsburg,1
Hannover 96,FC Schalke 04,3
TSG 1899 Hoffenheim,FC Schalke 04,3
Hertha BSC,Bayer 04 Leverkusen,1
RB Leipzig,1. FC Köln,5
SC Freiburg,VfB Stuttgart,5
Hamburger SV,Eintracht Frankfurt,4
Eintracht Frankfurt,Hannover 96,5
1. FC Köln,Hertha BSC,3
Hertha BSC,Hannover 96,2
Hannover 96,SV Werder Bremen,2
1.FC Nuremberg,SV Werder Bremen,4
Karlsruher SC,Hannover 96,1
Hannover 96,VfL Wolfsburg,2
Hannover 96,VfL Bochum,2
1.FSV Mainz 05,Karlsruher SC,2
Hamburger SV,SC Freiburg,1
1. FC Köln,SC Freiburg,1
MSV Duisburg,SC Freiburg,1
FC St. Pauli,SC Freiburg,2
FC St. Pauli,Fortuna Düsseldorf,1
VfB Stuttgart,Fortuna Düsseldorf,4
Hannover 96,Fortuna Düsseldorf,1
VfL Bochum,Fortuna Düsseldorf,1
FC Augsburg,Fortuna Düsseldorf,1
Fortuna Düsseldorf,Hertha BSC,1
Fortuna Düsseldorf,FC Augsburg,2
Fortuna Düsseldorf,VfB Stuttgart,2
Bayer 04 Leverkusen,FC St. Pauli,1
FC Augsburg,Eintracht Frankfurt,2
SV Werder Bremen,1. FC Köln,1
Fortuna Düsseldorf,MSV Duisburg,1
Hannover 96,RB Leipzig,1
FC Schalke 04,Borussia Mönchengladbach,1
Borussia Mönchengladbach,Bayern Munich,2
VfL Wolfsburg,Hannover 96,1
Eintracht Frankfurt,FC Augsburg,1
FC Schalke 04,SV Werder Bremen,1
SV Werder Bremen,Hamburger SV,1
TSG 1899 Hoffenheim,1.FC Nuremberg,1
TSG 1899 Hoffenheim,1.FSV Mainz 05,1
FC Schalke 04,Fortuna Düsseldorf,2
MSV Duisburg,Fortuna Düsseldorf,1
Fortuna Düsseldorf,FC Schalke 04,1
Fortuna Düsseldorf,Hannover 96,1
Hertha BSC,Karlsruher SC,1
FC Augsburg,1.FSV Mainz 05,2
Karlsruher SC,1.FSV Mainz 05,1
FC Augsburg,SC Freiburg,4
SC Freiburg,FC Augsburg,4
FC Schalke 04,Hannover 96,1
Hannover 96,FC Augsburg,1
1. FC Köln,VfB Stuttgart,2
MSV Duisburg,SC Paderborn 07,1
1.FSV Mainz 05,SC Paderborn 07,2
SC Paderborn 07,FC Schalke 04,1
SC Paderborn 07,VfB Stuttgart,1
SC Paderborn 07,MSV Duisburg,1
FC Augsburg,1.FC Union Berlin,3
1.FSV Mainz 05,1.FC Union Berlin,3
Hertha BSC,1.FC Union Berlin,1
VfB Stuttgart,1.FC Union Berlin,1
Hannover 96,1.FC Union Berlin,2
SC Freiburg,1.FC Union Berlin,4
1.FC Union Berlin,FC Augsburg,2
1.FC Union Berlin,Hannover 96,2
RB Leipzig,Eintracht Frankfurt,1
FC Augsburg,FC Schalke 04,2
Hertha BSC,SC Paderborn 07,1
SC Paderborn 07,Hannover 96,1
SC Paderborn 07,Karlsruher SC,1
VfL Wolfsburg,1.FC Union Berlin,3
RB Leipzig,Borussia Mönchengladbach,2
Borussia Mönchengladbach,FC Augsburg,2
Hertha BSC,1. FC Köln,4
Hertha BSC,1.FC Nuremberg,1
Hertha BSC,FC Schalke 04,4
FC Schalke 04,1.FC Union Berlin,2
1.FC Union Berlin,1. FC Köln,1
1.FC Union Berlin,VfL Wolfsburg,2
1.FC Union Berlin,SC Freiburg,2
FC Schalke 04,FC St. Pauli,1
1.FSV Mainz 05,VfL Bochum,3
SV Werder Bremen,Karlsruher SC,1
Hertha BSC,Arminia Bielefeld,1
FC Augsburg,Arminia Bielefeld,1
VfL Wolfsburg,FC St. Pauli,2
Eintracht Frankfurt,1.FSV Mainz 05,5
RB Leipzig,Bayern Munich,4
1.FC Nuremberg,Bayern Munich,1
VfL Wolfsburg,VfL Bochum,2
